Category,Quantity,References,Value,PCB Package,Farnell code,Cost
Modules,1,M1,GPS_TEL0132,GPS_TEL0132,3769990,"17,17€"
Modules,1,M2,LAMBDA62-8D,LAMBDA628D,2988568,"16,55€"
Capacitors,3,C1-C3,22uF,0805,1867955,"0,390€"
Capacitors,1,C4,100nF,0805,1708716,"0,103€"
Capacitors,2,C5-C6,10uF,0805,1867955,"0,390€"
Resistors,1,R1,10k,0805,9335765,"0,0241€"
Resistors,1,R2,71k5,0805,2073227,"0,0089€"
Resistors,1,R3,0R1,0805,2824733,"0,211€"
Resistors,1,R4,2K2,0805,2671151,"0,0149€"
Resistors,1,R5,220R,0805,1100068 ,"1,49€"
Resistors,1,R6,0R,1206_RES,2824733,"0,211€"
Resistors,1,R7,10k,0805_RES,1160207,"0,714€"
Resistors,2,R8-R9,4.7k,0805,9335765,"0,0241€"
Integrated Circuits,1,U1,MCP1725ADJ,SO8,1834878,"0,690€"
Integrated Circuits,1,U2,MCP73831/2,SOT23-5,1851961,"0,710€"
Integrated Circuits,1,U3,XC9141B50DMR-G,SOT23-5,3535653,"1,860€"
Diodes,1,D1,KA-3022SRC-4.5SF,SOD123_K,3434708,"0,591€"
Miscellaneous,4,"3V7,3V3M,GPS_RX,GPS_TX",PIN,PIN,,
Miscellaneous,1,ANT1,ANTENA_PCB,ANT_PCB,,
Miscellaneous,1,BAT1,LIPO BAT,NULL,,"13,48€"
Miscellaneous,1,J1,22-15-2046,22152046,3051670,"0,546€"
Miscellaneous,1,J2,530480310,530480310,9732918,"0,354€"
Miscellaneous,1,L1,LQH5BPN4R7NT0L,LQH5BPB100MT0L,2219307,"0,324€"
Miscellaneous,1,LCD1,LCD1602 PCF5874,NULL,3769973,"11,97€"
Miscellaneous,1,PICO1,RASPBERRY PI PICO,RASPBERRY PI PICO,3643332,"3,520€"
